,Names,Comments,Dates,IDFather,IDChild,Likes
609,eughenes_mc_callan,🚲🚲Tesla the must,102 sem,-1,-1,1 Me gusta
610,flaviagitersonke,@gitersonke 😉,102 sem,-1,-1,Responder
611,gidsmds,🤔🤔🤔🤔🤔,102 sem,-1,-1,1 Me gusta
612,thisiseliottt,@mymom,102 sem,-1,-1,Responder
613,_koniglena_,E❤️❤️,102 sem,-1,-1,1 Me gusta
614,kaits.lifexo,I need to win the lotto asap 🙌🔥,102 sem,-1,-1,1 Me gusta
615,carswithoutgas,@k_ricco_ 🙌🏼🥂,102 sem,614,0,Responder
616,meeer_xx,😍,102 sem,-1,-1,1 Me gusta
617,dech94aswoolfy,@melyguy96 les fameuses accélération 😂,102 sem,-1,-1,Responder
618,melyguy96,"@dech94aswoolfy si encore c'était comme ça mais du tout, toi ça fait un vidéo dingue 😂",102 sem,617,0,1 Me gusta
619,sky_sky_,Verificado,102 sem,-1,-1,1 Me gusta
620,marianne_the_md,@mikepfau @andreea_emilia the celebrity couple. You’ve been mistaken for Guy Pearce and Eva Lovia. 🤪,102 sem,-1,-1,1 Me gusta
621,andreea_emilia,@marianne_the_md hahahaha you are too kind😂❤,102 sem,620,0,Responder
622,hun_aerials,is a tesla more for the man or for his husband?,102 sem,-1,-1,1 Me gusta
623,hard_harder_hardstyle,Where is the sound. That girls is still crying in the car,102 sem,-1,-1,1 Me gusta
624,jonremibredesen,@eva_mathilde,102 sem,-1,-1,1 Me gusta
625,idasmand,@ida.halberg 😍😍😍,102 sem,-1,-1,Responder
626,john.philippe2017,Love 💝,102 sem,-1,-1,1 Me gusta
627,realjakegibson,@linnybucket,102 sem,-1,-1,1 Me gusta
628,nathanarnerlof,Yellow flannel. We know what that means,102 sem,-1,-1,1 Me gusta
629,eetuuma,@juulia_salo 😇💜,102 sem,-1,-1,Responder
630,soldehawaii,"I had and drove this car for 2 years, best car I’ve ever had. Her reaction is a bit ridiculous though, but driving it is a pleasure.",102 sem,-1,-1,Responder
631,ctown_91,@__dianimal remind you of anything? 🙃,102 sem,-1,-1,Responder
632,ruthe100,@juliane_ruthenberg,102 sem,-1,-1,Responder
633,tedster827,@tobindekorne @agaspeed,102 sem,-1,-1,2 Me gusta
634,tobindekorne,@tedster827 every. Damn. Day.,102 sem,633,0,Responder
635,tedster827,"@tobindekorne haha oops, sorry. 😬",102 sem,633,1,Responder
636,tobindekorne,@tedster827 hahaha it’s all fun,102 sem,633,2,Responder
637,oskar.pedersen,@annakjallstrom,102 sem,-1,-1,1 Me gusta
638,sufian_zaynk,She damn flat🤷‍♂️🤷‍♂️🤷‍♂️😑😑,102 sem,-1,-1,1 Me gusta
639,sufian_zaynk,Link?,102 sem,-1,-1,1 Me gusta
640,creativeinterior1996,Nice @teslamotors,102 sem,-1,-1,Responder
641,kweimer711,@jessicasusanneswift @_wyattbliley_,102 sem,-1,-1,Responder
642,emmanuel.duverneau,@lisarenejohnson,102 sem,-1,-1,Responder
643,bandy89,@jerrybangbang let’s do it,102 sem,-1,-1,Responder
644,jerrybangbang,@bandy89 not happening anymore. What a surprise huh,102 sem,643,0,Responder
645,bandy89,@jerrybangbang 😢,102 sem,643,1,Responder
646,hun_aerials,"I was wondering, does guys with teslas shave their legs?",102 sem,-1,-1,Responder
647,vipor26,"@hun_aerials nope, also drives great off road (model X)",102 sem,646,0,Responder
648,khokhlov6391,👍,102 sem,-1,-1,Responder
649,schwinn89,@kchand6,102 sem,-1,-1,Responder
650,jessaleec,I’ve got to get a Tesla first🤷🏻‍♀️😩,102 sem,-1,-1,1 Me gusta
651,sensarpensar,@aarvin14,102 sem,-1,-1,Responder
652,aarvin14,@sensarpensar she is so much calmer than me,102 sem,651,0,1 Me gusta
653,sensarpensar,@aarvin14 wait till we get the dual motor Y 😜,102 sem,651,1,Responder
654,staceyrobertspilatesandyoga,Feel the Ludicrous speed of a Tesla! 🔥🚘 🎼,102 sem,-1,-1,1 Me gusta
655,afrahr,@oxzing1,102 sem,-1,-1,Responder
656,rchaseadams,@jonathanmabey @alexmadamss,102 sem,-1,-1,1 Me gusta
657,jonathanmabey,@rchaseadams 😂😂😂,102 sem,656,0,Responder
658,e_m_lang,@chellexmicb,102 sem,-1,-1,Responder
659,e_m_lang,The launch is the best part.,102 sem,658,0,Responder
660,mr_entrepreneurr,@andrearakic,102 sem,-1,-1,2 Me gusta
661,alexprotic,@mr_entrepreneurr jealous @andrearakic,102 sem,660,0,Responder
662,andrearakic,@alexprotic my neck tho,102 sem,660,1,1 Me gusta
663,_corena_razi,I have the same reaction all the time. 😃,102 sem,-1,-1,1 Me gusta
664,sariahbatt,@ everyoneiknow 😁,102 sem,-1,-1,Responder
665,skizzyscott,👀👀👀 @mclonetattoos,102 sem,-1,-1,Responder
666,watchnow__,Have all made it to the Midwest yet? We would love to have you all in our States🙌🙌🙌😱 #TeslaRocks,102 sem,-1,-1,1 Me gusta
667,lpi684,#ludicrousspeed🙌🏽,102 sem,-1,-1,Responder
668,mjsillah67,@isillah77,102 sem,-1,-1,1 Me gusta
669,shirls_curls,Can’t wait to have that feeling👸🏾,102 sem,-1,-1,1 Me gusta
670,danczerepak,Have you guys considered utilizing this product light for Rental Services in Urban Areas? It can be useful for Safaris and or Theme Parks as well. Consider restructuring the company. Add a Hybrid line and cut prices. This Company is in hot water and on thin ice. Sell it for Tourism in Europe and or Australia. Provide maintenance services for the rental services. Maybe use it for University settings and or Golf Courses? Ports and or Airports. Where the vehicle does not need to go far. Limit the reach to the Cities. Adjust your EBITA and also have your stock factor in your no existent P/E Ratio.,102 sem,-1,-1,1 Me gusta
671,tony_ortega1,@xochitl0807 but she gets mad,102 sem,-1,-1,Responder
672,ron.the_creator,@makmotors I need a Tesla.,102 sem,-1,-1,Responder
673,iamchidi,@theherdsmen.novel,102 sem,-1,-1,Responder
674,rui.rsilva,The speed is worth never spending a dime on your hair stylist again. 😂,102 sem,-1,-1,1 Me gusta
675,johnjwilliamson,@teliahrenee one day... 😏,102 sem,-1,-1,Responder
676,davidfroyo,@danielanthonio3 👌👌,102 sem,-1,-1,Responder
677,benjjjjaminbarrells,This has me feeling single af,102 sem,-1,-1,1 Me gusta
678,fakiegawdfather,@moreuhhhh goals af,102 sem,-1,-1,Responder
679,donny_babe,So wait a second...this car slowly unbuttons women’s shirts? Musk you rascal.,102 sem,-1,-1,1 Me gusta
680,thomashle,@amandalisinski,102 sem,-1,-1,1 Me gusta
681,amandalisinski,@thomashle Every time 😱,102 sem,680,0,Responder
682,jake.d.ruiz,@jakereddevils @dmalf10,102 sem,-1,-1,1 Me gusta
683,_ivanvalentino,@colethegreat14,102 sem,-1,-1,Responder
684,haakonsj,@lyndsey_sandra,102 sem,-1,-1,Responder
685,christianzaia,@tamilasayadi,102 sem,-1,-1,1 Me gusta
686,_kevinwang_,@kayhoolay,102 sem,-1,-1,1 Me gusta
687,spencerklawans,@alyxstewart sry not sry,102 sem,-1,-1,1 Me gusta
688,gandalftesla,@s1phant,102 sem,-1,-1,Responder
689,sanketkudav,@hiimonikaa you freak out when I drive now imagine me behind the wheel of this thing.,102 sem,-1,-1,2 Me gusta
690,hiimonikaa,@sanketkudav hi pls get a Tesla 🤞🏼,102 sem,689,0,Responder
691,hiimonikaa,@sanketkudav hi pls get a Tesla 🤞🏼,102 sem,689,1,Responder
692,dave.oliva,@winn.er 😬,102 sem,-1,-1,Responder
693,vincent_viau,@sim_houle7 @biscuit_breton @vincent_viau,102 sem,-1,-1,Responder
694,sim_houle7,@vincent_viau nice,102 sem,693,0,Responder
695,oooookeving,@jdinwiddie @nadinwiddie 😁😁😁,102 sem,-1,-1,Responder
696,nadinwiddie,@oooookeving especially after dinner🤢side note- I love that theyre also listening to cardi B bc that’s accurate as well !!😂,102 sem,695,0,Responder
697,frankables,@kendall.design @natalie.frank,102 sem,-1,-1,1 Me gusta
698,kendall.design,@frankables 😂😂😂,102 sem,697,0,Responder
699,chrgngo,Just look at the happiness riding in a Tesla brings @superiormusclecars!,102 sem,-1,-1,2 Me gusta
700,_.agera._,My 7.0 liter V-8 could give more smiles per gallon,102 sem,-1,-1,1 Me gusta
701,zach_fields,@aliviafields,102 sem,-1,-1,Responder
702,zacharyault,@elenakay,102 sem,-1,-1,Responder
703,tisalette,@princess_kali_luv_ sorry,102 sem,-1,-1,1 Me gusta
704,dnzssrl,@aygennnnnnn ehehehehe :D,102 sem,-1,-1,1 Me gusta
705,ayggen,@bilalsagirli ehehehesjsksk agaaaaa,102 sem,704,0,1 Me gusta
706,samaraaalam,@ no one cuz i don’t have a tesla 😓,102 sem,-1,-1,1 Me gusta
707,dblx1,Who are they?,102 sem,-1,-1,Responder
708,gg.elim,@itsbamaya,102 sem,-1,-1,1 Me gusta
709,awesomeattorney,@fishcat6,102 sem,-1,-1,Responder
710,hollister_kuw,"I just woke up, l dreamed l killed Musk 😭",102 sem,-1,-1,Responder
711,queen.libra87,I need that kind of horsepower😍🔥,102 sem,-1,-1,1 Me gusta
712,pauls24,@brez5 I can’t help it,102 sem,-1,-1,Responder
713,my.georgia.lynn,🖤,102 sem,-1,-1,Responder
714,hussain_basit_awan,Awesome,102 sem,-1,-1,Responder
715,ericjin0,@jelly456 when I buy my Tesla we’re doing this all day long,102 sem,-1,-1,1 Me gusta
716,smcrawford123,@derekcarder,102 sem,-1,-1,Responder
717,derekcarder,@smcrawford123 👍,98 sem,716,0,Responder
718,stacey_moore_kc,@mtm35,102 sem,-1,-1,Responder
719,shleshs,@parini08,102 sem,-1,-1,1 Me gusta
720,julian_salles,@wesleyrwilliford,102 sem,-1,-1,Responder
721,bridger_christensen,@eth.christensen,102 sem,-1,-1,1 Me gusta
722,eth.christensen,@bridger_christensen soon,102 sem,721,0,1 Me gusta
723,rosegoldthakur,@ambika_pandey 🤣,102 sem,-1,-1,Responder
724,rahat_ibn_lokum,Tesla owners go faster on highways don’t drive like a my grandma.,102 sem,-1,-1,1 Me gusta
725,thedanshepherd,@freyaholly,102 sem,-1,-1,Responder
726,jose.a.vega,This interior 👌 @momof4amazingboys @jaimeavilla @rokotsekelle @mommyof2z,102 sem,-1,-1,1 Me gusta
727,mommyof2z,@jose.a.vega yup only for single like you but not with kids like me 😜...,102 sem,726,0,Responder
728,mommyof2z,@jose.a.vega yup only for single like you but not with kids like me 😜...,102 sem,726,1,Responder
729,momof4amazingboys,@jose.a.vega YASSSSS!!!!!,102 sem,726,2,1 Me gusta
730,samsteyer41,@tessakathleen,102 sem,-1,-1,1 Me gusta
731,itslarisxs,@kevinliuqt speed,102 sem,-1,-1,Responder
732,a.alansaari,لا يا شيخ,102 sem,-1,-1,Responder
733,paulossmoraes,Caracaaaaaaaa,102 sem,-1,-1,Responder
734,annabee04,@mitchmcelroybjj 😘 🚗💨,102 sem,-1,-1,Responder
735,paisleydescartes,Michael Jordan and Jackson. Paisley freedom action university.,102 sem,-1,-1,Responder
736,jonataspc_,@greyci_ktt,102 sem,-1,-1,1 Me gusta
737,nuallas._.6,Brap brap stututu,102 sem,-1,-1,Responder
738,jlieberman__,@mlieberman_,102 sem,-1,-1,1 Me gusta
739,ras_simonnnn,@pdtdhsimon,102 sem,-1,-1,Responder
